transaction_id,customer_id,atm_id,candidate_rank,candidate_selection_score,distance_to_atm,distance_from_recent_activity,distance_available,atm_withdrawal_count,atm_withdrawals_1h,atm_withdrawals_24h,atm_fraud_count,atm_fraud_rate,atm_recent_activity,atm_history_available,local_fraud_density,local_fraud_density_available,linked_account_count,suspicious_account_count,network_features_available,data_source,linkage_type,distance_method,target_generation_score,target_selection_probability,target
TXN000000294,CUST054241,ATM06172,1,0.9840583991573828,,,0,0,0,0,0,0.0,0.0,1,,0,,,0,synthetic,synthetic_candidate_simulation,unavailable_without_transaction_coordinates,0.7887261271315295,0.1879515145003269,0
TXN000000294,CUST054241,ATM00665,2,0.9839486756554684,,,0,0,0,0,0,0.0,0.0,1,,0,,,0,synthetic,synthetic_candidate_simulation,unavailable_without_transaction_coordinates,0.80790339965841,0.20908156330871314,0
TXN000000294,CUST054241,ATM00100,3,0.9839349348680241,,,0,0,0,0,0,0.0,0.0,1,,0,,,0,synthetic,synthetic_candidate_simulation,unavailable_without_transaction_coordinates,0.8116550593771644,0.21348508802085414,1
TXN000000294,CUST054241,ATM07825,4,0.9839349348680241,,,0,0,0,0,0,0.0,0.0,1,,0,,,0,synthetic,synthetic_candidate_simulation,unavailable_without_transaction_coordinates,0.7830976859281636,0.1821653716900882,0
TXN000000294,CUST054241,ATM09544,5,0.9839349348680241,,,0,0,0,0,0,0.0,0.0,1,,0,,,0,synthetic,synthetic_candidate_simulation,unavailable_without_transaction_coordinates,0.8063773595116053,0.2073164624800176,0
TXN000000114,CUST050637,ATM06172,1,0.9840583991573828,,,0,0,0,0,0,0.0,0.0,1,,0,,,0,synthetic,synthetic_candidate_simulation,unavailable_without_transaction_coordinates,0.7887261271315295,0.1879515145003269,0
TXN000000114,CUST050637,ATM00665,2,0.9839486756554684,,,0,0,0,0,0,0.0,0.0,1,,0,,,0,synthetic,synthetic_candidate_simulation,unavailable_without_transaction_coordinates,0.80790339965841,0.20908156330871314,0
TXN000000114,CUST050637,ATM00100,3,0.9839349348680241,,,0,0,0,0,0,0.0,0.0,1,,0,,,0,synthetic,synthetic_candidate_simulation,unavailable_without_transaction_coordinates,0.8116550593771644,0.21348508802085414,1
TXN000000114,CUST050637,ATM07825,4,0.9839349348680241,,,0,0,0,0,0,0.0,0.0,1,,0,,,0,synthetic,synthetic_candidate_simulation,unavailable_without_transaction_coordinates,0.7830976859281636,0.1821653716900882,0
TXN000000114,CUST050637,ATM09544,5,0.9839349348680241,,,0,0,0,0,0,0.0,0.0,1,,0,,,0,synthetic,synthetic_candidate_simulation,unavailable_without_transaction_coordinates,0.8063773595116053,0.2073164624800176,0
TXN000000273,CUST039791,ATM01886,1,0.9255014129495271,,,0,0,0,0,0,0.0,0.0,1,,0,,,0,synthetic,synthetic_candidate_simulation,unavailable_without_transaction_coordinates,0.7371289654129048,0.21622165123755882,0
TXN000000273,CUST039791,ATM06057,2,0.9255014129495271,,,0,0,0,0,0,0.0,0.0,1,,0,,,0,synthetic,synthetic_candidate_simulation,unavailable_without_transaction_coordinates,0.7224037606899573,0.19923745443938862,0
TXN000000273,CUST039791,ATM08665,3,0.9255014129495271,,,0,0,0,0,0,0.0,0.0,1,,0,,,0,synthetic,synthetic_candidate_simulation,unavailable_without_transaction_coordinates,0.7158077984930606,0.19206869938824328,0
TXN000000273,CUST039791,ATM07694,4,0.9250636964128629,,,0,0,0,0,0,0.0,0.0,1,,0,,,0,synthetic,synthetic_candidate_simulation,unavailable_without_transaction_coordinates,0.7177983513275528,0.19420450322864047,1
TXN000000273,CUST039791,ATM06056,5,0.9250081195791154,,,0,0,0,0,0,0.0,0.0,1,,0,,,0,synthetic,synthetic_candidate_simulation,unavailable_without_transaction_coordinates,0.7215254946348826,0.19826769170616873,0
TXN000000012,CUST064821,ATM08025,1,0.9739197823417662,,,0,0,0,0,0,0.0,0.0,1,,0,,,0,synthetic,synthetic_candidate_simulation,unavailable_without_transaction_coordinates,0.7702764217034507,0.18435164375313126,0
TXN000000012,CUST064821,ATM05773,2,0.9738356356090216,,,0,0,0,0,0,0.0,0.0,1,,0,,,0,synthetic,synthetic_candidate_simulation,unavailable_without_transaction_coordinates,0.7743456182742484,0.18856668081957217,0
TXN000000012,CUST064821,ATM00019,3,0.9737015723066845,,,0,0,0,0,0,0.0,0.0,1,,0,,,0,synthetic,synthetic_candidate_simulation,unavailable_without_transaction_coordinates,0.8056436300141806,0.22437741709119413,0
